Number Of Animals (sum),Gear Code,Stat Area,Species Code,Batch Year
19292,03,24426,420 Sockeye Salmon,2005
349417,03,24426,420 Sockeye Salmon,2006
4659,03,24426,420 Sockeye Salmon,2007
17370,03,24426,420 Sockeye Salmon,2008
2701,03,24426,420 Sockeye Salmon,2013
11676,03,24426,420 Sockeye Salmon,2014
28387,03,24426,420 Sockeye Salmon,2015
743,03,24426,420 Sockeye Salmon,2018
1937,03,24450,420 Sockeye Salmon,2024
32,03,24451,420 Sockeye Salmon,2024
460001,03,24455,420 Sockeye Salmon,2005
27513,03,24455,420 Sockeye Salmon,2006
119140,03,24455,420 Sockeye Salmon,2007
2550,03,24455,420 Sockeye Salmon,2008
64521,03,24455,420 Sockeye Salmon,2010
315585,03,24456,420 Sockeye Salmon,2005
33521,03,24456,420 Sockeye Salmon,2006
930151,03,24456,420 Sockeye Salmon,2011
586803,03,24456,420 Sockeye Salmon,2012
333306,03,24456,420 Sockeye Salmon,2013
156393,03,24456,420 Sockeye Salmon,2014
30029,03,24456,420 Sockeye Salmon,2015
135590,03,24456,420 Sockeye Salmon,2016
253950,03,24456,420 Sockeye Salmon,2017
116216,03,24456,420 Sockeye Salmon,2020
51461,03,24456,420 Sockeye Salmon,2021
4902,03,24456,420 Sockeye Salmon,2022
29467,03,24456,420 Sockeye Salmon,2024
283768,03,24457,420 Sockeye Salmon,2014
428743,03,24457,420 Sockeye Salmon,2015
400135,03,24457,420 Sockeye Salmon,2016
49726,03,24457,420 Sockeye Salmon,2017
81812,03,24457,420 Sockeye Salmon,2018
237398,03,24457,420 Sockeye Salmon,2019
57428,03,24457,420 Sockeye Salmon,2020
335382,03,24457,420 Sockeye Salmon,2021
199601,03,24457,420 Sockeye Salmon,2022
368493,03,24457,420 Sockeye Salmon,2023
1259170,03,24457,420 Sockeye Salmon,2024
1641663,03,24460,420 Sockeye Salmon,2005
370386,03,24460,420 Sockeye Salmon,2006
1686930,03,24460,420 Sockeye Salmon,2007
825795,03,24460,420 Sockeye Salmon,2008
960806,03,24460,420 Sockeye Salmon,2009
1513483,03,24460,420 Sockeye Salmon,2010
2262047,03,24460,420 Sockeye Salmon,2011
2337161,03,24460,420 Sockeye Salmon,2012
1313908,03,24460,420 Sockeye Salmon,2013
1043031,03,24460,420 Sockeye Salmon,2014
523129,03,24460,420 Sockeye Salmon,2015
728087,03,24460,420 Sockeye Salmon,2016
564733,03,24460,420 Sockeye Salmon,2017
317257,03,24460,420 Sockeye Salmon,2018
510387,03,24460,420 Sockeye Salmon,2019
109311,03,24460,420 Sockeye Salmon,2020
464636,03,24460,420 Sockeye Salmon,2021
688559,03,24460,420 Sockeye Salmon,2022
992190,03,24460,420 Sockeye Salmon,2023
83786,03,24461,420 Sockeye Salmon,2005
3877,03,24461,420 Sockeye Salmon,2006
12748,03,24461,420 Sockeye Salmon,2007
137584,03,24461,420 Sockeye Salmon,2008
7251,03,24461,420 Sockeye Salmon,2009
9601,03,24461,420 Sockeye Salmon,2010
8837,03,24461,420 Sockeye Salmon,2011
176,03,24461,420 Sockeye Salmon,2012
12634,03,24461,420 Sockeye Salmon,2013
6806,03,24461,420 Sockeye Salmon,2014
1768,03,24461,420 Sockeye Salmon,2015
2831,03,24461,420 Sockeye Salmon,2016
10843,03,24461,420 Sockeye Salmon,2017
397,03,24461,420 Sockeye Salmon,2018
662,03,24461,420 Sockeye Salmon,2019
310,03,24461,420 Sockeye Salmon,2020
135,03,24461,420 Sockeye Salmon,2021
85,03,24461,420 Sockeye Salmon,2022
4832,03,24461,420 Sockeye Salmon,2024
40212,03,24470,420 Sockeye Salmon,2024
57,03,24510,420 Sockeye Salmon,2006
4,03,24510,420 Sockeye Salmon,2007
4,03,24510,420 Sockeye Salmon,2008
18,03,24510,420 Sockeye Salmon,2009
52,03,24510,420 Sockeye Salmon,2010
4,03,24510,420 Sockeye Salmon,2012
12,03,24510,420 Sockeye Salmon,2013
4,03,24510,420 Sockeye Salmon,2014
628,03,24510,420 Sockeye Salmon,2015
103,03,24510,420 Sockeye Salmon,2016
1027,03,24510,420 Sockeye Salmon,2017
60,03,24510,420 Sockeye Salmon,2018
654,03,24510,420 Sockeye Salmon,2019
462,03,24510,420 Sockeye Salmon,2020
299,03,24510,420 Sockeye Salmon,2021
596,03,24510,420 Sockeye Salmon,2022
1148,03,24510,420 Sockeye Salmon,2023
1635,03,24570,420 Sockeye Salmon,2024
73,03,24590,420 Sockeye Salmon,2024
329823,04,24421,420 Sockeye Salmon,2005
179064,04,24421,420 Sockeye Salmon,2006
315835,04,24421,420 Sockeye Salmon,2007
337114,04,24421,420 Sockeye Salmon,2008
253606,04,24421,420 Sockeye Salmon,2009
175885,04,24421,420 Sockeye Salmon,2010
442514,04,24421,420 Sockeye Salmon,2011
10032,04,24421,420 Sockeye Salmon,2012
225551,04,24421,420 Sockeye Salmon,2013
178512,04,24421,420 Sockeye Salmon,2014
363681,04,24421,420 Sockeye Salmon,2015
173354,04,24421,420 Sockeye Salmon,2016
301023,04,24421,420 Sockeye Salmon,2017
85496,04,24421,420 Sockeye Salmon,2018
141004,04,24421,420 Sockeye Salmon,2019
81987,04,24421,420 Sockeye Salmon,2020
79519,04,24421,420 Sockeye Salmon,2021
34243,04,24421,420 Sockeye Salmon,2022
395651,04,24422,420 Sockeye Salmon,2005
217882,04,24422,420 Sockeye Salmon,2006
219673,04,24422,420 Sockeye Salmon,2007
199372,04,24422,420 Sockeye Salmon,2008
190799,04,24422,420 Sockeye Salmon,2009
183905,04,24422,420 Sockeye Salmon,2010
339715,04,24422,420 Sockeye Salmon,2011
8255,04,24422,420 Sockeye Salmon,2012
131017,04,24422,420 Sockeye Salmon,2013
124510,04,24422,420 Sockeye Salmon,2014
227728,04,24422,420 Sockeye Salmon,2015
116497,04,24422,420 Sockeye Salmon,2016
157685,04,24422,420 Sockeye Salmon,2017
74826,04,24422,420 Sockeye Salmon,2018
117180,04,24422,420 Sockeye Salmon,2019
56621,04,24422,420 Sockeye Salmon,2020
70287,04,24422,420 Sockeye Salmon,2021
24258,04,24422,420 Sockeye Salmon,2022
77907,04,24425,420 Sockeye Salmon,2005
338155,04,24425,420 Sockeye Salmon,2006
15631,04,24425,420 Sockeye Salmon,2007
60499,04,24425,420 Sockeye Salmon,2008
64150,04,24425,420 Sockeye Salmon,2013
198131,04,24425,420 Sockeye Salmon,2014
101660,04,24425,420 Sockeye Salmon,2015
11410,04,24425,420 Sockeye Salmon,2018
1502,04,24425,420 Sockeye Salmon,2021
413661,04,24431,420 Sockeye Salmon,2005
258344,04,24431,420 Sockeye Salmon,2006
183364,04,24431,420 Sockeye Salmon,2007
345293,04,24431,420 Sockeye Salmon,2008
196885,04,24431,420 Sockeye Salmon,2009
157800,04,24431,420 Sockeye Salmon,2010
234758,04,24431,420 Sockeye Salmon,2011
12436,04,24431,420 Sockeye Salmon,2012
117210,04,24431,420 Sockeye Salmon,2013
84436,04,24431,420 Sockeye Salmon,2014
203542,04,24431,420 Sockeye Salmon,2015
87979,04,24431,420 Sockeye Salmon,2016
101394,04,24431,420 Sockeye Salmon,2017
50354,04,24431,420 Sockeye Salmon,2018
77480,04,24431,420 Sockeye Salmon,2019
48317,04,24431,420 Sockeye Salmon,2020
67886,04,24431,420 Sockeye Salmon,2021
23090,04,24431,420 Sockeye Salmon,2022
311545,04,24432,420 Sockeye Salmon,2005
71733,04,24432,420 Sockeye Salmon,2006
105180,04,24432,420 Sockeye Salmon,2007
108419,04,24432,420 Sockeye Salmon,2008
61781,04,24432,420 Sockeye Salmon,2009
110536,04,24432,420 Sockeye Salmon,2010
174980,04,24432,420 Sockeye Salmon,2011
7021,04,24432,420 Sockeye Salmon,2012
101306,04,24432,420 Sockeye Salmon,2013
34084,04,24432,420 Sockeye Salmon,2014
129440,04,24432,420 Sockeye Salmon,2015
89105,04,24432,420 Sockeye Salmon,2016
67343,04,24432,420 Sockeye Salmon,2017
19113,04,24432,420 Sockeye Salmon,2018
103218,04,24432,420 Sockeye Salmon,2019
22626,04,24432,420 Sockeye Salmon,2020
51183,04,24432,420 Sockeye Salmon,2021
7364,04,24432,420 Sockeye Salmon,2022
810702,04,24441,420 Sockeye Salmon,2005
199541,04,24441,420 Sockeye Salmon,2006
439200,04,24441,420 Sockeye Salmon,2007
210784,04,24441,420 Sockeye Salmon,2008
167341,04,24441,420 Sockeye Salmon,2009
391821,04,24441,420 Sockeye Salmon,2010
583377,04,24441,420 Sockeye Salmon,2011
52806,04,24441,420 Sockeye Salmon,2012
251003,04,24441,420 Sockeye Salmon,2013
87454,04,24441,420 Sockeye Salmon,2014
347514,04,24441,420 Sockeye Salmon,2015
441763,04,24441,420 Sockeye Salmon,2016
167976,04,24441,420 Sockeye Salmon,2017
36976,04,24441,420 Sockeye Salmon,2018
238025,04,24441,420 Sockeye Salmon,2019
61619,04,24441,420 Sockeye Salmon,2020
101761,04,24441,420 Sockeye Salmon,2021
12870,04,24441,420 Sockeye Salmon,2022
195056,04,24442,420 Sockeye Salmon,2005
36556,04,24442,420 Sockeye Salmon,2006
74524,04,24442,420 Sockeye Salmon,2007
41755,04,24442,420 Sockeye Salmon,2008
35441,04,24442,420 Sockeye Salmon,2009
65842,04,24442,420 Sockeye Salmon,2010
102595,04,24442,420 Sockeye Salmon,2011
6125,04,24442,420 Sockeye Salmon,2012
31296,04,24442,420 Sockeye Salmon,2013
17271,04,24442,420 Sockeye Salmon,2014
107771,04,24442,420 Sockeye Salmon,2015
89155,04,24442,420 Sockeye Salmon,2016
36799,04,24442,420 Sockeye Salmon,2017
11666,04,24442,420 Sockeye Salmon,2018
107636,04,24442,420 Sockeye Salmon,2019
24171,04,24442,420 Sockeye Salmon,2020
34943,04,24442,420 Sockeye Salmon,2021
2853,04,24442,420 Sockeye Salmon,2022
13,04,24510,420 Sockeye Salmon,2005
51,04,24510,420 Sockeye Salmon,2006
1,04,24510,420 Sockeye Salmon,2012
4,04,24510,420 Sockeye Salmon,2013
1,04,24510,420 Sockeye Salmon,2015
3,04,24510,420 Sockeye Salmon,2016
2,04,24510,420 Sockeye Salmon,2017
13,04,24510,420 Sockeye Salmon,2018
16,04,24510,420 Sockeye Salmon,2019
18,04,24510,420 Sockeye Salmon,2020
8,04,24510,420 Sockeye Salmon,2022
1,04,24510,420 Sockeye Salmon,2024
220,04,24520,420 Sockeye Salmon,2005
16,04,24520,420 Sockeye Salmon,2006
43644,04,24530,420 Sockeye Salmon,2005
31765,04,24530,420 Sockeye Salmon,2006
46255,04,24530,420 Sockeye Salmon,2007
18126,04,24530,420 Sockeye Salmon,2008
58944,04,24530,420 Sockeye Salmon,2009
42754,04,24530,420 Sockeye Salmon,2010
68545,04,24530,420 Sockeye Salmon,2011
25613,04,24530,420 Sockeye Salmon,2012
22501,04,24530,420 Sockeye Salmon,2013
32587,04,24530,420 Sockeye Salmon,2014
35276,04,24530,420 Sockeye Salmon,2015
34502,04,24530,420 Sockeye Salmon,2016
26961,04,24530,420 Sockeye Salmon,2017
32581,04,24530,420 Sockeye Salmon,2018
51917,04,24530,420 Sockeye Salmon,2019
22257,04,24530,420 Sockeye Salmon,2020
16423,04,24530,420 Sockeye Salmon,2021
29692,04,24530,420 Sockeye Salmon,2022
42795,04,24530,420 Sockeye Salmon,2023
39319,04,24530,420 Sockeye Salmon,2024
655,04,24540,420 Sockeye Salmon,2005
436,04,24540,420 Sockeye Salmon,2006
4329,04,24540,420 Sockeye Salmon,2008
329,04,24540,420 Sockeye Salmon,2010
58,04,24540,420 Sockeye Salmon,2011
294,04,24540,420 Sockeye Salmon,2015
2059,04,24540,420 Sockeye Salmon,2016
5234,04,24550,420 Sockeye Salmon,2005
7453,04,24550,420 Sockeye Salmon,2006
10599,04,24550,420 Sockeye Salmon,2007
1098,04,24550,420 Sockeye Salmon,2008
2521,04,24550,420 Sockeye Salmon,2009
2084,04,24550,420 Sockeye Salmon,2010
2154,04,24550,420 Sockeye Salmon,2011
4317,04,24550,420 Sockeye Salmon,2012
7496,04,24550,420 Sockeye Salmon,2013
4436,04,24550,420 Sockeye Salmon,2014
1912,04,24550,420 Sockeye Salmon,2015
3171,04,24550,420 Sockeye Salmon,2016
3865,04,24550,420 Sockeye Salmon,2017
3260,04,24550,420 Sockeye Salmon,2018
6472,04,24550,420 Sockeye Salmon,2019
2631,04,24550,420 Sockeye Salmon,2020
3513,04,24550,420 Sockeye Salmon,2021
2980,04,24550,420 Sockeye Salmon,2022
4607,04,24550,420 Sockeye Salmon,2023
1622,04,24550,420 Sockeye Salmon,2024
2428,04,24555,420 Sockeye Salmon,2005
3548,04,24555,420 Sockeye Salmon,2006
2332,04,24555,420 Sockeye Salmon,2007
1803,04,24555,420 Sockeye Salmon,2008
3975,04,24555,420 Sockeye Salmon,2009
2120,04,24555,420 Sockeye Salmon,2010
2997,04,24555,420 Sockeye Salmon,2011
3560,04,24555,420 Sockeye Salmon,2012
3097,04,24555,420 Sockeye Salmon,2013
1842,04,24555,420 Sockeye Salmon,2014
1686,04,24555,420 Sockeye Salmon,2015
3853,04,24555,420 Sockeye Salmon,2016
3770,04,24555,420 Sockeye Salmon,2017
1310,04,24555,420 Sockeye Salmon,2018
1963,04,24555,420 Sockeye Salmon,2019
4240,04,24555,420 Sockeye Salmon,2020
3567,04,24555,420 Sockeye Salmon,2021
3165,04,24555,420 Sockeye Salmon,2022
5373,04,24555,420 Sockeye Salmon,2023
1954,04,24555,420 Sockeye Salmon,2024
238,04,24560,420 Sockeye Salmon,2005
348,04,24560,420 Sockeye Salmon,2006
121,04,24560,420 Sockeye Salmon,2007
49,04,24560,420 Sockeye Salmon,2008
520,04,24560,420 Sockeye Salmon,2009
433,04,24560,420 Sockeye Salmon,2010
844,04,24560,420 Sockeye Salmon,2011
261,04,24560,420 Sockeye Salmon,2012
24,04,24560,420 Sockeye Salmon,2013
347,04,24560,420 Sockeye Salmon,2014
844,04,24560,420 Sockeye Salmon,2015
392,04,24560,420 Sockeye Salmon,2016
395,04,24560,420 Sockeye Salmon,2017
1686,04,24560,420 Sockeye Salmon,2018
1521,04,24560,420 Sockeye Salmon,2019
3876,04,24560,420 Sockeye Salmon,2020
6520,04,24560,420 Sockeye Salmon,2021
2453,04,24560,420 Sockeye Salmon,2022
17664,04,24560,420 Sockeye Salmon,2023
6288,04,24560,420 Sockeye Salmon,2024
76477,04,24610,420 Sockeye Salmon,2005
40342,04,24610,420 Sockeye Salmon,2006
47825,04,24610,420 Sockeye Salmon,2007
34180,04,24610,420 Sockeye Salmon,2008
50821,04,24610,420 Sockeye Salmon,2009
54862,04,24610,420 Sockeye Salmon,2010
74098,04,24610,420 Sockeye Salmon,2011
48935,04,24610,420 Sockeye Salmon,2012
37445,04,24610,420 Sockeye Salmon,2013
34149,04,24610,420 Sockeye Salmon,2014
47353,04,24610,420 Sockeye Salmon,2015
30991,04,24610,420 Sockeye Salmon,2016
36832,04,24610,420 Sockeye Salmon,2017
28240,04,24610,420 Sockeye Salmon,2018
36455,04,24610,420 Sockeye Salmon,2019
29512,04,24610,420 Sockeye Salmon,2020
42201,04,24610,420 Sockeye Salmon,2021
31182,04,24610,420 Sockeye Salmon,2022
65031,04,24610,420 Sockeye Salmon,2023
37902,04,24610,420 Sockeye Salmon,2024
28703,04,24620,420 Sockeye Salmon,2005
10095,04,24620,420 Sockeye Salmon,2006
15292,04,24620,420 Sockeye Salmon,2007
7781,04,24620,420 Sockeye Salmon,2008
14433,04,24620,420 Sockeye Salmon,2009
12137,04,24620,420 Sockeye Salmon,2010
14843,04,24620,420 Sockeye Salmon,2011
7753,04,24620,420 Sockeye Salmon,2012
5140,04,24620,420 Sockeye Salmon,2013
6910,04,24620,420 Sockeye Salmon,2014
12405,04,24620,420 Sockeye Salmon,2015
10223,04,24620,420 Sockeye Salmon,2016
7963,04,24620,420 Sockeye Salmon,2017
8127,04,24620,420 Sockeye Salmon,2018
15351,04,24620,420 Sockeye Salmon,2019
6330,04,24620,420 Sockeye Salmon,2020
8219,04,24620,420 Sockeye Salmon,2021
6536,04,24620,420 Sockeye Salmon,2022
12841,04,24620,420 Sockeye Salmon,2023
6652,04,24620,420 Sockeye Salmon,2024
319,04,24710,420 Sockeye Salmon,2005
123,04,24710,420 Sockeye Salmon,2006
952,04,24710,420 Sockeye Salmon,2007
243,04,24710,420 Sockeye Salmon,2008
588,04,24710,420 Sockeye Salmon,2009
4715,04,24710,420 Sockeye Salmon,2010
926,04,24710,420 Sockeye Salmon,2011
446,04,24710,420 Sockeye Salmon,2012
969,04,24710,420 Sockeye Salmon,2013
4038,04,24710,420 Sockeye Salmon,2014
2763,04,24710,420 Sockeye Salmon,2015
1191,04,24710,420 Sockeye Salmon,2016
1081,04,24710,420 Sockeye Salmon,2017
2972,04,24710,420 Sockeye Salmon,2018
2296,04,24710,420 Sockeye Salmon,2019
4874,04,24710,420 Sockeye Salmon,2020
4387,04,24710,420 Sockeye Salmon,2021
2120,04,24710,420 Sockeye Salmon,2022
9208,04,24710,420 Sockeye Salmon,2023
2984,04,24710,420 Sockeye Salmon,2024
3530,04,24720,420 Sockeye Salmon,2005
1225,04,24720,420 Sockeye Salmon,2006
224,04,24720,420 Sockeye Salmon,2007
2623,04,24720,420 Sockeye Salmon,2008
11869,04,24720,420 Sockeye Salmon,2009
8973,04,24720,420 Sockeye Salmon,2010
9197,04,24720,420 Sockeye Salmon,2011
3464,04,24720,420 Sockeye Salmon,2012
5417,04,24720,420 Sockeye Salmon,2013
8894,04,24720,420 Sockeye Salmon,2014
14871,04,24720,420 Sockeye Salmon,2015
11457,04,24720,420 Sockeye Salmon,2016
11735,04,24720,420 Sockeye Salmon,2017
5799,04,24720,420 Sockeye Salmon,2018
20493,04,24720,420 Sockeye Salmon,2019
8029,04,24720,420 Sockeye Salmon,2020
11175,04,24720,420 Sockeye Salmon,2021
7095,04,24720,420 Sockeye Salmon,2022
16711,04,24720,420 Sockeye Salmon,2023
7503,04,24720,420 Sockeye Salmon,2024
2147,04,24730,420 Sockeye Salmon,2005
685,04,24730,420 Sockeye Salmon,2006
3911,04,24730,420 Sockeye Salmon,2007
3141,04,24730,420 Sockeye Salmon,2008
3816,04,24730,420 Sockeye Salmon,2009
1961,04,24730,420 Sockeye Salmon,2010
5667,04,24730,420 Sockeye Salmon,2011
3772,04,24730,420 Sockeye Salmon,2012
3257,04,24730,420 Sockeye Salmon,2013
3041,04,24730,420 Sockeye Salmon,2014
4020,04,24730,420 Sockeye Salmon,2015
4813,04,24730,420 Sockeye Salmon,2016
1665,04,24730,420 Sockeye Salmon,2017
3878,04,24730,420 Sockeye Salmon,2018
7401,04,24730,420 Sockeye Salmon,2019
2714,04,24730,420 Sockeye Salmon,2020
5819,04,24730,420 Sockeye Salmon,2021
3683,04,24730,420 Sockeye Salmon,2022
3063,04,24730,420 Sockeye Salmon,2023
3152,04,24730,420 Sockeye Salmon,2024
1963,04,24741,420 Sockeye Salmon,2005
466,04,24741,420 Sockeye Salmon,2006
1129,04,24741,420 Sockeye Salmon,2007
1160,04,24741,420 Sockeye Salmon,2008
1935,04,24741,420 Sockeye Salmon,2009
2678,04,24741,420 Sockeye Salmon,2010
3208,04,24741,420 Sockeye Salmon,2011
1458,04,24741,420 Sockeye Salmon,2012
798,04,24741,420 Sockeye Salmon,2013
1573,04,24741,420 Sockeye Salmon,2014
2825,04,24741,420 Sockeye Salmon,2015
2957,04,24741,420 Sockeye Salmon,2016
2841,04,24741,420 Sockeye Salmon,2017
2074,04,24741,420 Sockeye Salmon,2018
3909,04,24741,420 Sockeye Salmon,2019
1332,04,24741,420 Sockeye Salmon,2020
3054,04,24741,420 Sockeye Salmon,2021
2317,04,24741,420 Sockeye Salmon,2022
2011,04,24741,420 Sockeye Salmon,2023
1026,04,24741,420 Sockeye Salmon,2024
1273,04,24742,420 Sockeye Salmon,2005
308,04,24742,420 Sockeye Salmon,2006
870,04,24742,420 Sockeye Salmon,2007
1141,04,24742,420 Sockeye Salmon,2008
3564,04,24742,420 Sockeye Salmon,2009
4904,04,24742,420 Sockeye Salmon,2010
4411,04,24742,420 Sockeye Salmon,2011
1178,04,24742,420 Sockeye Salmon,2012
889,04,24742,420 Sockeye Salmon,2013
1349,04,24742,420 Sockeye Salmon,2014
2951,04,24742,420 Sockeye Salmon,2015
3423,04,24742,420 Sockeye Salmon,2016
5092,04,24742,420 Sockeye Salmon,2017
6128,04,24742,420 Sockeye Salmon,2018
4096,04,24742,420 Sockeye Salmon,2019
2361,04,24742,420 Sockeye Salmon,2020
3080,04,24742,420 Sockeye Salmon,2021
3643,04,24742,420 Sockeye Salmon,2022
2141,04,24742,420 Sockeye Salmon,2023
1294,04,24742,420 Sockeye Salmon,2024
1381,04,24743,420 Sockeye Salmon,2005
356,04,24743,420 Sockeye Salmon,2006
1159,04,24743,420 Sockeye Salmon,2007
1270,04,24743,420 Sockeye Salmon,2008
823,04,24743,420 Sockeye Salmon,2009
1895,04,24743,420 Sockeye Salmon,2010
2164,04,24743,420 Sockeye Salmon,2011
1497,04,24743,420 Sockeye Salmon,2012
1056,04,24743,420 Sockeye Salmon,2013
864,04,24743,420 Sockeye Salmon,2014
1998,04,24743,420 Sockeye Salmon,2015
1876,04,24743,420 Sockeye Salmon,2016
2458,04,24743,420 Sockeye Salmon,2017
2768,04,24743,420 Sockeye Salmon,2018
2470,04,24743,420 Sockeye Salmon,2019
1401,04,24743,420 Sockeye Salmon,2020
1522,04,24743,420 Sockeye Salmon,2021
1452,04,24743,420 Sockeye Salmon,2022
1787,04,24743,420 Sockeye Salmon,2023
1478,04,24743,420 Sockeye Salmon,2024
6132,04,24770,420 Sockeye Salmon,2005
2949,04,24770,420 Sockeye Salmon,2006
4805,04,24770,420 Sockeye Salmon,2007
8030,04,24770,420 Sockeye Salmon,2008
8451,04,24770,420 Sockeye Salmon,2009
6504,04,24770,420 Sockeye Salmon,2010
4644,04,24770,420 Sockeye Salmon,2011
5031,04,24770,420 Sockeye Salmon,2012
5521,04,24770,420 Sockeye Salmon,2013
6338,04,24770,420 Sockeye Salmon,2014
10159,04,24770,420 Sockeye Salmon,2015
12371,04,24770,420 Sockeye Salmon,2016
11873,04,24770,420 Sockeye Salmon,2017
10688,04,24770,420 Sockeye Salmon,2018
10262,04,24770,420 Sockeye Salmon,2019
6952,04,24770,420 Sockeye Salmon,2020
9469,04,24770,420 Sockeye Salmon,2021
11278,04,24770,420 Sockeye Salmon,2022
6866,04,24770,420 Sockeye Salmon,2023
9685,04,24770,420 Sockeye Salmon,2024
3114,04,24780,420 Sockeye Salmon,2005
1790,04,24780,420 Sockeye Salmon,2006
2065,04,24780,420 Sockeye Salmon,2007
3058,04,24780,420 Sockeye Salmon,2008
3624,04,24780,420 Sockeye Salmon,2009
4904,04,24780,420 Sockeye Salmon,2010
2526,04,24780,420 Sockeye Salmon,2011
2244,04,24780,420 Sockeye Salmon,2012
2369,04,24780,420 Sockeye Salmon,2013
5565,04,24780,420 Sockeye Salmon,2014
7025,04,24780,420 Sockeye Salmon,2015
3969,04,24780,420 Sockeye Salmon,2016
9865,04,24780,420 Sockeye Salmon,2017
9389,04,24780,420 Sockeye Salmon,2018
12532,04,24780,420 Sockeye Salmon,2019
8511,04,24780,420 Sockeye Salmon,2020
14409,04,24780,420 Sockeye Salmon,2021
10106,04,24780,420 Sockeye Salmon,2022
8500,04,24780,420 Sockeye Salmon,2023
7483,04,24780,420 Sockeye Salmon,2024
6556,04,24790,420 Sockeye Salmon,2005
4728,04,24790,420 Sockeye Salmon,2006
2352,04,24790,420 Sockeye Salmon,2007
5564,04,24790,420 Sockeye Salmon,2008
5982,04,24790,420 Sockeye Salmon,2009
3643,04,24790,420 Sockeye Salmon,2010
2739,04,24790,420 Sockeye Salmon,2011
3490,04,24790,420 Sockeye Salmon,2012
3147,04,24790,420 Sockeye Salmon,2013
6025,04,24790,420 Sockeye Salmon,2014
9264,04,24790,420 Sockeye Salmon,2015
5093,04,24790,420 Sockeye Salmon,2016
10346,04,24790,420 Sockeye Salmon,2017
8856,04,24790,420 Sockeye Salmon,2018
9761,04,24790,420 Sockeye Salmon,2019
11648,04,24790,420 Sockeye Salmon,2020
18502,04,24790,420 Sockeye Salmon,2021
10149,04,24790,420 Sockeye Salmon,2022
11720,04,24790,420 Sockeye Salmon,2023
7445,04,24790,420 Sockeye Salmon,2024
640,13,24421,420 Sockeye Salmon,2024
668,13,24422,420 Sockeye Salmon,2024
467,13,24431,420 Sockeye Salmon,2024
3387,13,24432,420 Sockeye Salmon,2024
20593,13,24441,420 Sockeye Salmon,2024
2065,13,24442,420 Sockeye Salmon,2024
16767,99,24432,420 Sockeye Salmon,2024
4996,99,24441,420 Sockeye Salmon,2024